dataset,N_shot,ICL_strategy,reasoning,model,depression_accuracy,depression_f1_macro,depression_precision,depression_recall,anxiety_accuracy,anxiety_f1_macro,anxiety_precision,anxiety_recall,stress_accuracy,stress_f1_macro,stress_precision,stress_recall,prompt_avg,prompt_std,completion_avg,completion_std,avg_per_request,std_per_request,avg_seconds,std_seconds,per_sample_usd,per_sample_std,depression_accuracy_ci,depression_f1_macro_ci,depression_precision_ci,depression_recall_ci,anxiety_accuracy_ci,anxiety_f1_macro_ci,anxiety_precision_ci,anxiety_recall_ci,stress_accuracy_ci,stress_f1_macro_ci,stress_precision_ci,stress_recall_ci
ces,4-shot,Personal Recent,CoT,Claude Sonnet 4.5,0.717,0.652,0.648,0.658,0.663,0.584,0.598,0.582,0.547,0.541,0.553,0.550,6849.8,503.4,1114.5,107.3,7964.3,523.8,30.7280,3.1724,0.037,0.002,"[0.667, 0.763]","[0.595, 0.709]","[0.593, 0.703]","[0.602, 0.720]","[0.607, 0.713]","[0.522, 0.639]","[0.531, 0.660]","[0.527, 0.633]","[0.487, 0.603]","[0.481, 0.597]","[0.492, 0.611]","[0.493, 0.603]"
ces,4-shot,Personal Recent,CoT,Gemini 2.5 Pro,0.593,0.573,0.601,0.630,0.660,0.627,0.625,0.633,0.519,0.470,0.547,0.528,7476.9,716.9,3718.8,558.0,11195.7,1029.6,41.0890,7.2495,0.047,0.006,"[0.539, 0.650]","[0.516, 0.631]","[0.554, 0.652]","[0.569, 0.691]","[0.606, 0.714]","[0.571, 0.686]","[0.572, 0.682]","[0.577, 0.695]","[0.458, 0.579]","[0.413, 0.523]","[0.468, 0.619]","[0.481, 0.569]"
ces,4-shot,Personal Recent,CoT,gpt-oss-20b,0.670,0.604,0.601,0.612,0.698,0.615,0.649,0.610,0.564,0.563,0.566,0.565,6594.6,499.6,2034.2,716.1,8628.8,922.5,34.6785,87.2606,-,-,"[0.619, 0.725]","[0.542, 0.663]","[0.545, 0.658]","[0.549, 0.677]","[0.646, 0.749]","[0.553, 0.674]","[0.583, 0.719]","[0.559, 0.663]","[0.505, 0.619]","[0.503, 0.617]","[0.509, 0.623]","[0.508, 0.620]"
ces,4-shot,Hybrid,CoT,GPT-5,0.753,0.641,0.680,0.629,0.740,0.644,0.725,0.636,0.607,0.602,0.608,0.604,6588.8,358.4,1772.7,347.7,8361.6,551.1,33.7116,9.6157,0.026,0.004,"[0.703, 0.800]","[0.577, 0.702]","[0.607, 0.752]","[0.574, 0.687]","[0.683, 0.787]","[0.581, 0.701]","[0.647, 0.797]","[0.585, 0.685]","[0.553, 0.660]","[0.547, 0.656]","[0.552, 0.663]","[0.550, 0.657]"
ces,4-shot,Hybrid,CoT,Claude Sonnet 4.5,0.700,0.641,0.636,0.651,0.707,0.622,0.657,0.616,0.590,0.589,0.593,0.592,6901.6,363.0,1121.2,109.1,8022.8,395.4,30.7241,3.0793,0.038,0.002,"[0.643, 0.753]","[0.580, 0.697]","[0.579, 0.691]","[0.590, 0.712]","[0.653, 0.757]","[0.561, 0.678]","[0.592, 0.723]","[0.566, 0.668]","[0.537, 0.647]","[0.534, 0.644]","[0.537, 0.648]","[0.537, 0.647]"
ces,4-shot,Hybrid,CoT,Gemini 2.5 Pro,0.589,0.574,0.608,0.636,0.620,0.583,0.582,0.587,0.519,0.487,0.534,0.525,7533.5,599.9,3726.5,599.3,11260.0,971.6,40.9325,6.1322,0.047,0.006,"[0.532, 0.643]","[0.515, 0.628]","[0.557, 0.655]","[0.575, 0.695]","[0.566, 0.673]","[0.524, 0.639]","[0.526, 0.638]","[0.528, 0.644]","[0.458, 0.572]","[0.428, 0.540]","[0.469, 0.595]","[0.477, 0.570]"
ces,4-shot,Hybrid,CoT,gpt-oss-20b,0.689,0.630,0.626,0.643,0.713,0.615,0.659,0.610,0.591,0.591,0.591,0.591,6649.4,358.4,1736.0,583.2,8385.4,747.5,30.5680,88.2061,-,-,"[0.639, 0.743]","[0.569, 0.689]","[0.569, 0.683]","[0.580, 0.703]","[0.662, 0.764]","[0.552, 0.676]","[0.587, 0.734]","[0.556, 0.665]","[0.534, 0.645]","[0.534, 0.645]","[0.535, 0.645]","[0.536, 0.645]"
ces,4-shot,Cross Random,Direct,GPT-5,0.607,0.509,0.509,0.509,0.583,0.506,0.507,0.506,0.520,0.518,0.519,0.519,6492.8,275.5,1447.5,345.5,7940.3,462.3,37.3761,14.6198,0.023,0.004,"[0.547, 0.663]","[0.450, 0.567]","[0.453, 0.568]","[0.454, 0.571]","[0.527, 0.637]","[0.449, 0.558]","[0.449, 0.563]","[0.454, 0.559]","[0.463, 0.573]","[0.459, 0.571]","[0.461, 0.574]","[0.461, 0.572]"
ces,4-shot,Personal Recent,Direct,GPT-5,0.773,0.677,0.713,0.662,0.737,0.630,0.727,0.625,0.620,0.618,0.620,0.618,6394.5,497.6,1248.3,416.3,7642.8,703.9,32.9546,15.3208,0.020,0.004,"[0.723, 0.820]","[0.613, 0.737]","[0.647, 0.781]","[0.606, 0.718]","[0.680, 0.783]","[0.565, 0.689]","[0.644, 0.796]","[0.576, 0.674]","[0.567, 0.673]","[0.563, 0.671]","[0.566, 0.673]","[0.565, 0.671]"
ces,4-shot,Personal Recent,Self-Feedback,GPT-5,0.763,0.649,0.699,0.636,0.713,0.603,0.676,0.602,0.620,0.618,0.620,0.618,20449.9,5584.0,5854.8,1860.8,26304.7,7305.9,106.5230,37.1104,0.084,0.025,"[0.713, 0.810]","[0.586, 0.714]","[0.625, 0.772]","[0.584, 0.695]","[0.657, 0.760]","[0.537, 0.662]","[0.594, 0.751]","[0.552, 0.651]","[0.563, 0.670]","[0.561, 0.670]","[0.564, 0.672]","[0.562, 0.670]"
