N_shot,ICL_strategy,reasoning,model,depression_accuracy,depression_f1_macro,depression_precision,depression_recall,anxiety_accuracy,anxiety_f1_macro,anxiety_precision,anxiety_recall,stress_accuracy,stress_f1_macro,stress_precision,stress_recall,prompt_avg,prompt_std,completion_avg,completion_std,avg_per_request,std_per_request,avg_seconds,std_seconds,per_sample_usd,per_sample_std,depression_accuracy_ci,depression_f1_macro_ci,depression_precision_ci,depression_recall_ci,anxiety_accuracy_ci,anxiety_f1_macro_ci,anxiety_precision_ci,anxiety_recall_ci,stress_accuracy_ci,stress_f1_macro_ci,stress_precision_ci,stress_recall_ci
0-shot,None,CoT,Mistral 7B,0.5913978494623656,0.5325396825396825,0.5364532019704433,0.5435294117647059,0.5765765765765766,0.48878000979911806,0.48949579831932777,0.4889112903225806,0.5512820512820513,0.5512082853855005,0.5720108695652174,0.5727522306108441,2408.8133333333335,132.6364649039706,514.0433333333333,117.8117203658259,2922.8566666666666,186.43607337518014,5.53528702100118,1.1543460121577578,0.0,0.0,"[0.494, 0.689]","[0.433, 0.633]","[0.446, 0.631]","[0.435, 0.656]","[0.486, 0.670]","[0.402, 0.587]","[0.402, 0.584]","[0.404, 0.592]","[0.443, 0.653]","[0.441, 0.650]","[0.467, 0.670]","[0.466, 0.673]"
0-shot,None,CoT,gpt-oss-20b,0.43986254295532645,0.43816405093278055,0.5285109156076898,0.5318606627017842,0.541095890410959,0.501807995925643,0.505844535359439,0.5065217391304347,0.5120274914089347,0.5094729344729345,0.516000586281024,0.5154919583727531,2063.228187919463,110.41560418887458,1809.1442953020135,468.7886746293526,3872.3724832214766,518.0085500264885,37.233881914375615,23.06320067006565,0.0,0.0,"[0.386, 0.498]","[0.383, 0.493]","[0.474, 0.580]","[0.468, 0.592]","[0.483, 0.596]","[0.445, 0.558]","[0.453, 0.561]","[0.448, 0.568]","[0.454, 0.567]","[0.451, 0.565]","[0.456, 0.572]","[0.459, 0.569]"
4-shot,Cross Random,Direct,GPT-5,0.6066666666666667,0.5086336127921826,0.5086183310533516,0.5088787417554541,0.5833333333333334,0.5055314547923891,0.5069444444444444,0.5063988624244579,0.52,0.5182657567242072,0.5189203730272597,0.5187689023305462,6492.8133333333335,275.45117865462515,1447.5166666666667,345.48203482799056,7940.33,462.33888844295444,37.37611383358637,14.619763354911782,0.022591183333333334,0.003505126459281542,"[0.547, 0.663]","[0.450, 0.567]","[0.453, 0.568]","[0.454, 0.571]","[0.527, 0.637]","[0.449, 0.558]","[0.449, 0.563]","[0.454, 0.559]","[0.463, 0.573]","[0.459, 0.571]","[0.461, 0.574]","[0.461, 0.572]"
4-shot,Cross Random,CoT,GPT-5,0.6266666666666667,0.5526918366260185,0.5518764917982835,0.5575849822425165,0.6,0.5143273433705683,0.5183740026789354,0.5160225483723528,0.5266666666666666,0.52361782071927,0.525339366515837,0.524906600249066,6632.32,286.17239140070797,2029.8066666666666,313.13989837699626,8662.126666666667,445.00128534146455,38.07962632973989,8.943680964946124,0.028588466666666666,0.003187405896149023,"[0.573, 0.683]","[0.494, 0.609]","[0.498, 0.607]","[0.498, 0.619]","[0.543, 0.650]","[0.455, 0.567]","[0.459, 0.576]","[0.465, 0.566]","[0.470, 0.580]","[0.466, 0.575]","[0.470, 0.579]","[0.469, 0.577]"
4-shot,Cross Random,CoT,Claude Sonnet 4.5,0.5518394648829431,0.5281467872621066,0.5557420336555675,0.5710901826484018,0.5183946488294314,0.48225108225108226,0.4875115207373272,0.4860940065681445,0.5050167224080268,0.49814008346942473,0.5086016867931762,0.5080356343450623,6945.4366666666665,290.3354484997579,1102.0033333333333,126.04230766779153,8047.44,325.013753144899,30.304268327554066,3.908824722258015,0.03736635999999995,0.0021397472912472633,"[0.502, 0.605]","[0.474, 0.581]","[0.506, 0.605]","[0.508, 0.634]","[0.458, 0.579]","[0.423, 0.537]","[0.432, 0.539]","[0.424, 0.544]","[0.451, 0.559]","[0.441, 0.554]","[0.451, 0.566]","[0.454, 0.562]"
4-shot,Cross Random,CoT,Gemini 2.5 Pro,0.40404040404040403,0.40230577694905234,0.5465517241379311,0.5401234567901234,0.48484848484848486,0.4732882825449445,0.4949499545040946,0.49424751243781095,0.48484848484848486,0.4301711706063076,0.4947393591582975,0.497002997002997,7581.285234899329,549.3397280024972,3619.201342281879,573.4110579161168,11200.486577181207,915.5223624404555,40.159672516304376,6.855978230492365,0.04566861996644295,0.005995550971184058,"[0.347, 0.458]","[0.344, 0.455]","[0.483, 0.599]","[0.485, 0.585]","[0.428, 0.545]","[0.417, 0.531]","[0.441, 0.547]","[0.434, 0.556]","[0.431, 0.542]","[0.378, 0.482]","[0.422, 0.567]","[0.456, 0.537]"
4-shot,Cross Random,CoT,gpt-oss-20b,0.447098976109215,0.4430442128977753,0.5152116402116402,0.5176860286288891,0.5221843003412969,0.49412983425414364,0.49969168010625176,0.4996581106669472,0.4863013698630137,0.47924097588814385,0.488143580488294,0.48890036138358284,6693.023489932886,286.5318823140825,2034.255033557047,594.1319724856564,8727.278523489933,705.1653999003438,40.17347415341627,26.866562326223615,0.0,0.0,"[0.392, 0.505]","[0.386, 0.501]","[0.461, 0.569]","[0.454, 0.581]","[0.468, 0.577]","[0.435, 0.547]","[0.443, 0.550]","[0.438, 0.556]","[0.432, 0.543]","[0.423, 0.534]","[0.431, 0.546]","[0.434, 0.542]"
4-shot,Cross Retrieval,CoT,GPT-5,0.67,0.5268817204301075,0.5386178861788617,0.5289193302891932,0.6533333333333333,0.505578093306288,0.5499557913351016,0.525823980498705,0.55,0.5164698718943636,0.5577777777777778,0.5433641700764988,6453.943333333334,638.9041347929715,1946.9666666666667,322.746462240702,8400.91,672.8652479508805,35.765017453034716,9.044741491997478,0.027537095833333344,0.0032107843908237813,"[0.613, 0.723]","[0.469, 0.583]","[0.471, 0.610]","[0.478, 0.580]","[0.597, 0.700]","[0.446, 0.560]","[0.464, 0.631]","[0.483, 0.567]","[0.493, 0.603]","[0.460, 0.570]","[0.495, 0.619]","[0.496, 0.590]"
4-shot,Cross Retrieval,CoT,Claude Sonnet 4.5,0.5819397993311036,0.5244003308519437,0.5298913043478262,0.536101598173516,0.6354515050167224,0.5438309188886556,0.5550724637681159,0.5448481116584565,0.5317725752508361,0.529874213836478,0.530890999547716,0.5305757005998747,6761.083333333333,661.2677745983258,1105.5566666666666,123.41293876881612,7866.64,666.4838710726615,30.373170989354453,3.056679390449466,0.0368666,0.002643608685112076,"[0.525, 0.635]","[0.467, 0.579]","[0.478, 0.582]","[0.474, 0.599]","[0.582, 0.689]","[0.484, 0.603]","[0.489, 0.622]","[0.492, 0.600]","[0.475, 0.589]","[0.474, 0.584]","[0.476, 0.586]","[0.476, 0.585]"
4-shot,Cross Retrieval,CoT,Gemini 2.5 Pro,0.4797297297297297,0.4690397428132135,0.5230224321133412,0.5284372630228081,0.5540540540540541,0.5063674954517889,0.5073836039837119,0.5078816444095313,0.5033783783783784,0.49162879274690097,0.5102556173984746,0.509095479683715,7325.531772575251,957.4219083188796,3680.8060200668897,580.7614789930144,11006.33779264214,1267.5972515947824,41.486339602582035,6.31894623429138,0.04596497491638802,0.0062905836761314084,"[0.422, 0.537]","[0.411, 0.525]","[0.470, 0.572]","[0.462, 0.589]","[0.497, 0.605]","[0.449, 0.558]","[0.451, 0.559]","[0.449, 0.565]","[0.446, 0.554]","[0.434, 0.544]","[0.450, 0.570]","[0.456, 0.562]"
